
GoldStolen				"##1## volé"
AuraUndead				"Aura - Undead"
AuraAltar				"Aura - Altar"

MinorPoisonImbuedfromaura

// Usable objects

LeverNameRed				"^c001Red^c145 Lever"
LeverNameGreen				"^c002Green^c145 Lever"
LeverNameBlue				"^c003Blue^c145 Lever"

SwitchNameRed				"^c001Red^c145 Switch"
SwitchNameGreen				"^c002Green^c145 Switch"
SwitchNameBlue				"^c003Blue^c145 Switch"

DoorNameRed				"^c001Red^c145 Door"
DoorNameGreen				"^c002Green^c145 Door"
DoorNameBlue				"^c003Blue^c145 Door"

// Mouse hints

LeftClickToOpen				"Left click to open"
LeftClickToAttack			"Left click to attack"
LeftClickToPickUp			"Left click to pick up"
LeftClickToUse				"Left click to use"
LeftClickToActivate			"Left click to activate"
LeftClickToBreak			"Left click to break"
LeftClickToTalk				"Left click to talk"
LeftClickToGamble			"Left click to gamble"
LeftClickToBuyAndSell			"Left click to buy and sell"
LeftClickToRead				"Left click to read"
LeftClickToIncreaseXByY			"Left click to increase ##1## by ##2##"
UseSkillsToAttack			"Use skills to attack"

PressHotKeyAction			"Press the ##1## key to ##2##"
PressHotKey				"Press the ##1## key"

// Menus / UI

Exit					"Quitter"
Back					"Retour"
CantGoBack				"Retour impossible"
Done					"Fait"
Close					"Fermer"
OK					"OK"
Ok					"OK"
Yes					"Oui"
No					"Non"

SelectSpecialty				"Choisir"
SelectSpecialtyDesc			"Select the current specialty"

SelectCharacter				"Select Character"
NewCharacter				"New Character"
DeleteCharacter				"Delete Character"

ConfirmDeleteChar			"Type delete to verify deletion of character"
Delete					"Delete"

ConfirmDeclineQuest			"Are you sure you want to decline this quest?"
Decline					"Decline"

CreateNewWorld				"Create New World"
CreateNewWorldDesc			"Character, recruits, and items all carry over into the new world"
LoadExistingWorld			"Load Existing World"
CreateNewWorldNoAbandon			"Create New World"
CreateWorldInfo				"Create new world\n\nMonster starting level: ##1##\nDifficulty: ##2##"
CreateCharacterInfo			"Create new character\n\nName: ##1##\nClass: ##2##\nGender: ##3##"

SetupWorldMenuTitle			"Setup World"
SelectStartingMonsterLevel		"Select Starting Monster Level"
SelectStartingMonsterLevelDesc		"This number is the level that the monsters will start at.\nIf you want a difficult game, choose a level higher than\nyour character level.  If you want an easier game, choose\na level lower than your character level."

WaitForServerNewWorld1			"Please wait for the server"
WaitForServerNewWorld2			"to create a new world."

CharactersLevel				"Character's level"
CharactersLevelDesc			"This is how powerful your character is"
CharactersLevelLow			"Low"
CharactersLevelLowDesc			"This should create a relatively weak world compared to your character"
CharactersLevelMedium			"Medium"
CharactersLevelMediumDesc		"This should create a relatively balanced world compared to your character"
CharactersLevelHigh			"High"
CharactersLevelHighDesc			"This should create a relatively powerful world compared to your character"

SelectWorldDifficulty			"Select World Difficulty"
ChampionDesc				"Champion difficulty requires level 25 character\nor have beaten normal difficulty story line"
EliteDesc				"Elite difficulty requires level 50 character\nor have beaten champion difficulty story line"
LegendaryDesc				"Legendary difficulty requires level 75 character\nor have beaten elite difficulty story line"

ShowNewerTextEvents			"Show more text events\n"
HideTextEvents				"Hide all text events\n"
ShowOlderTextEvents			"Show less text events\n"

// Npcs menus

Intro					"Intro"
Talk					"Talk"
Trade					"Trade"
Quests					"Quests"
SwitchPlaces				"Switch places"
Nevermind				"Nevermind"

// Win game menu

Congratulations				"Congratulations!"

WonGameText1				"You saved another town from the brink of annihilation, and are now closer to redemption."
WonGameText2				"Victory is at hand! Another town is saved, thanks to you."
WonGameText3				"Success is yours for the taking! You're another town closer to redemption."
WonGameText4				"Well done, hero. Another town prospers due to your intervention."
WonGameText5				"Peace once again reigns because of your mighty influence. I am pleased."

LostGameText1				"You lost the town. This is not the path the redemption!"
LostGameText2				"Destruction reigns here, due to your incompetence."
LostGameText3				"The town is in ruins. You failed to save it."
LostGameText4				"Your failure leaves a bleak hole where once there was hope."
LostGameText5				"Another victory for evil does not please me."

// Character menu

XChanceToHitLevelYMonster		"  ##1## chance to hit level ##2## monster"
XChanceLevelYMonsterWillHitYou		"  ##1## chance level ##2## monster will hit you"
AbsorbXDamageFromLevelYMonster		"  On average, absorb ##1## damage from a level ##2## monster"
DamagePerSuccessulHit			"damage per successul hit"
AbsorbXYDamageFromLevelZMonster		"  On average, absorb ##1## ##2## damage from a level ##3## monster"
ReputationLevel				"Reputation Level"
ExportHtml				"Export to HTML"
ExportVbulletin				"Export to vBulletin"
ExportCharHtml				"Export Character to HTML"
ExportCharHtmlDesc			"Exports your character stats, skills, and equipment\ninformation to an html file that can viewed by any\nweb viewer or can be posted on the internet."
ExportCharVbulletin			"Export Character to vBulletin"
ExportCharVbulletinDesc			"Exports your character stats, skills, and equipment\ninformation to a format that is used by vBulletin\nforums (like at http://www.soldak.com/forums/)."
CharacterExportedToHTML			"Character Exported to HTML"
CharacterExportedToVbulletin		"Character Exported to Vbulletin"

// Quests menu

Quests					"Quests"
NoActiveQuests				"No active quests, go get one!"
NoNewQuestsAvailable			"No new quests available."
AvailableQuests				"Available Quests"

// Escort menu

EscortNpc				"Escort Npc"

// Delivery menu

DeliverPackage				"Deliver Package"
GivePackage				"Get information"
DontHavePackageForX			"Don't have quest to talk to ##1##!"

// Help menu

HelpTopic				"Help topic"
NoMoreHelp				"Don't show any\nmore help"
ConfirmNoHelp				"Are you sure you want to turn off the help? You can always turn the help back on in the game options screen in the options."
TurnOffHelp				"Turn off help"
NewHelpTopic				"New Help Topic"

// Options menu

GraphicsOptions				"Graphics Options"
SoundOptions				"Sound Options"
GameOptions				"Game Options"
ConfigureInput				"Configure Input"

// Options shared

Apply					"Apply"
ResetToDefaults				"Reset to defaults"

// Game options

ShowHealthBars				"Show ingame Health Bars"
ShowDamageNumbers			"Show damage numbers"
ShowXPNumbers				"Show score numbers"
ShowPlayerHealthBar			"Show player health bar"
ShowCombatEffects			"Show combat effects"
UseShowItemsToggle			"Use show items toggle"
UseStayStillToggle			"Use stay still toggle"

HealthBarsDesc				"Show the health bars in game above monster and NPCs heads"
DamageNumbersDesc			"Show the numbers for damage to monsters, npcs, and players"
ShowXPDesc				"Show the numbers for score given to the player"
HardwareCursorDesc			"Uses a hardware cursor if available.  Recommendation: keep\nthis on unless your having problems with the cursor.  Turning\nthis off might fix flickering/graphics corruption issues."
PlayerHealthBarDesc			"Show the player's health bar in game above the player's head"
CombatEffectsDesc			"Show combat effects"
UseShowItemsToggleDesc			"If this option is turned on, the show items on ground key\nacts as a toggle instead of needing to be held down."
UseStayStillToggleDesc			"If this option is turned on, the stay still key\nacts as a toggle instead of needing to be held down."
ResetHelpTopics				"Reset all help topics"

// Graphics options

AdvancedGraphicsOptions			"Advanced Graphics Options"

Fullscreen				"Fullscreen"
ScreenSize				"Screen Size"
ScreenFrequency				"Screen Frequency"
Shadows					"Shadows"
MonitorSync				"Monitor sync"
FilteringQuality			"Filtering Quality"
CompressedTextures			"Compressed Textures"
ScreenshotType				"Screenshot Type"
Zoom					"Zoom"
AnisotropicFiltering			"Anisotropic Filtering"
AnisotropicFilteringQuality		"Anisotropic Filtering Quality"
GroundDetail				"Ground Detail"
Anti-aliasing				"Anti-aliasing"
BetterLighting				"Better Lighting"
Bloom					"Bloom"
DetailModels				"Detail Models"
MinimapAlpha				"Minimap Alpha"
UseHardwareCursor			"Use hardware cursor"
Gamma					"Gamma"
ModelDetail				"Model detail"
ModelDetailDesc				"This option controls how detailed the\nmodels are. The lower the number, the\nlower the quality, but it might speed up\nthe game."
EffectsDetail				"Effects detail"
EffectsDetailDesc			"This option controls how detailed the\neffects are. The lower the number, the\nlower the quality, but it might speed up\nthe game."

CompressedTexturesDesc			"Compressed textures uses much less memory\nand is faster.  Don't turn this off unless you\nare having texture problems."
MonitorSyncDesc				"Having monitor sync on reduces screen\nupdate tearing (looks better) but can\nslow down the graphics speed just a little\nbit.  Recommendation: keep this on."
FullScreenDesc				"This option determines whether or not\nthe game takes up all of the monitor space."
AnisotropicFilteringDesc		"Anisotropic filtering makes the graphics\nlook much sharper at the cost of speed." 
BetterLightingDesc			"Turn better lighting on to see improved\nlighting on your character, NPCs, and monsters.\nIf you are having graphics speed issues, this can\nbe turned off to improve the game speed."
BloomDesc				"Turn bloom on to see a glow type effect\non brighter surfaces.  Turning this on\nmight make the game run a little slower.\n\nNOTE: some people really like bloom and\nsome people really hate bloom.  So only\nturn this on if you like how it looks."
MinimapAlphaDesc			"This controls how transparent or opaque\nthe minimap in the upper right hand\ncorner of the screen is.  The farther to\nthe right on the slider the more opaque\nthe map becomes."
ZoomDesc				"This controls how far the camera is from\nthe player.  The farther to the right on\nthe slider the higher the camera will be\nand the more you will be able to see."
AnisotropicFilteringQualityDesc		"This controls the quality of the\nanisotropic filtering.  The farther to\nthe right on the slider the better the\nquality."
DetailModelsDesc			"This option turns environmental details\non and off.  If you turn this off much of\nthe scenic environment will not display.\nTurning this off might improve the game\nspeed but the game will not look as nice.\nRecommendation: keep this on unless\nthe game is running really slow."
ScreenSizeDesc				"Choose the size of the screen here.  The\nhigher the numbers the better the game\nwill look, but better resolutions might\nbe slower."
ScreenFreqDesc				"Choose the frequency of the monitor's\nrefresh rate here.  The default is fine\nfor most people but a few people are\nsensitive to lower refresh rates.  For\nthose people, higher is usually better.\nIf your monitor has trouble with the\nnew frequency change it back to default\nor try another frequency."
ShadowsDesc				"This option controls the quality of the\nshadows for your player, NPCs, and monsters.\nSimple shadows just show a roundish blob\nunderneath the character, where as complex\nshadows show a real shadow of the character.\nComplex is the best looking but slowest."
FilteringQualityDesc			"Filtering quality greatly effects the\nquality of the graphics.  Trilinear\nis the best looking but slowest.\nRecommendation: keep this at\ntrilinear unless you are having\ngraphics speed issues."
ScreenshotTypeDesc			"This controls what file format screenshots\nare saved as.  TGA is an uncompressed file\nformat so these screenshots will be perfect\nbut really large and most programs don't\nsupport them.  PNG files use lossless\ncompression.  This means they will look\nperfect just like the TGAs, but will be\nsmaller.  Many programs support PNGs.\nJPG is a lossy format.  This means the image\nwill not be exactly what was on the screen,\nbut they usually look pretty close and will\nbe much smaller.  Most programs that deals\nwith images can work with Jpgs.\nRecommendation: keep this on JPG."
GroundDetailDesc			"This controls the detail of the textures that are used\nfor the ground.  Recommendation: leave this at normal\nor higher, unless you are having graphics speed issues."
AntiAliasingDesc			"Anti aliasing helps fix edges of things from looking so\njaggy (especially long thin things like a sword).  The higher\nthe samples number the better the graphics but the slower\nthe game will be.  This greatly depends on the speed of your\ngraphics card though."
GammaDesc				"This controls the brightness of everything on the screen.\nThe farther to the right the slider the brighter the\ngraphics will be."

FastestSettings				"Fastest settings"
FastestSettingsDesc			"This option changes all of the graphics options to the\nfastest settings, but usually the lowest quality."
HighestQualitySettings			"Highest quality"
HighestQualitySettingsDesc		"This option changes all of the graphics options to the\nhighest quality settings, but usually the slowest ones also."

// Input options

KeyboardOptions				"Keyboard Options"

KeyCommand				"Name"
KeyName					"Key name"

QuestScreen				"Quests Screen"
SkillsScreen				"Skills Screen"
JournalScreen				"Journal Screen"
InventoryScreen				"Inventory Screen"
BestiaryScreen				"Bestiary Screen"
UseSlot					"Use Slot"
VirtualPause				"Pause"
VirtualZoomIn				"Zoom In"
VirtualZoomOut				"Zoom Out"
VirtualTakeScreenshot			"Take Screenshot"
VirtualNextEnemy			"Next Enemy"
VirtualNextAlly				"Next Ally"
VirtualQuickBuySell			"Quick Buy/Sell"
VirtualClearUseSlot			"Clear Use Slot"
VirtualSwitchWeapon			"Switch Weapon/Shield"
VirtualChat				"Chat"
VirtualUp				"Up"
VirtualDown				"Down"
VirtualLeft				"Left"
VirtualRight				"Right"
VirtualStayStill1			"Stay Still 1"
VirtualStayStill2			"Stay Still 2"
VirtualShowItems1			"Show Items 1"
VirtualShowItems2			"Show Items 2"

KeyboardType				"Keyboard Type"
MouseWheelAction			"Mouse Wheel Action"
PressKeyToUseFor			"Press key to use for "
PressEscapeToCancel			"Press Escape to cancel"
LeftClickToChange			"^c008Left click to change"

MouseWheelActionZoom			"Zoom"
MouseWheelActionScrollEnemy		"Next/Prev Enemy"
MouseWheelActionScrollSkills		"Scroll Right Click Skills"

// Sound options

MasterVolume				"Master Volume"
SoundEffectsVolume			"Sound Effects Volume"
MusicVolume				"Music Volume"
DialogVolume				"Dialog/Voice Volume"
SoundDevice				"Sound Device"
MuteVoice				"Mute Voice"

MasterVolumeDesc			"This controls the volume of all sounds and music in the\ngame.  Farther to the right is louder."
SoundEffectsVolumeDesc			"This controls just the volume of the sounds in the game.\nFarther to the right is louder."
MusicVolumeDesc				"This controls just the volume of the music in the game.\nFarther to the right is louder."
DialogVolumeDesc			"This controls just the volume of the dialog/voice in the game.\nFarther to the right is louder."
SpeakerTypeDesc				"Please choose the option that is nearest to the speaker\nsetup you have on your computer."
SoundDeviceDesc				"This option choose the device that the sound system will\nuse.  You should probably leave this on the default value\nunless you are having problems.  Unfortunately, you must\nexit and restart the game completely for this option to\ntake effect."

ChooseGate				"Choose a gate"

OpenAll					"Open All"
CloseAll				"Close All"

Experience				"Experience"
ExperienceDebtDesc			"\nWhile you have XP Debt you gain\nexperience at 1/2 the normal rate\n"

// But sell menu

BuySellEssential			"Essential items"
BuySellGambling				"Gambling"
BuySellOther				"Other items"
BuySellHeld				"Held"
BuySellHeld2				"Items"
BuySellHeldDesc				"Held Items\n\nYou can move any vendor item to the held\nslots.  The vendor will hold onto these items\nuntil the player buys the item or changes\nwhat is in the slot."
BuySellRecent				"Recent"
BuySellRecent2				"Purchases"
BuySellRecentDesc			"Recent Purchases\n\nThe vendor saves the last two items sold\nto him in these slots.  Items in these slots\ncan be repurchased back for what the player\nsold them for."
BuySellWealth				"Your wealth:"
BuySellIdentify				"Identify All"
BuySellRepair				"Repair"
BuySellRepairAll			"Repair All"
IdentifyAllYourItemsFor			"Identify all your items for"
RepairAllYourItemsFor			"Repair all your items for"

// Confirm win menu

WonAdventure				"Saved Town"
WonAdventureDesc			"When you are done with this town click on the blinking icon to the upper right. Make sure to open your reward chest first though!"
ContinueAdventure			"Continue"

//DoneWithAdventure			"Done with town"
//DoneWithAdventureDesc			"Click here if you want to be done with this town."
//ContinueAdventure			"Continue with town"
//ContinueAdventureDesc			"Click here if you want to continue to play\nin this town and finish up some stuff.\nWhen you feel that you are done, click on\nthe blinking icon in the upper right of the\nscreen."

ResetFogOfWar				"Reset Fog of War"
ResetFogOfWarDesc			"Resets the Fog of War for the level that\nthe player is currently in.  This can make\nit a bit easier to know where you have\nbeen recently."

Paused					"Paused"

RanOutOfThisItem			"Ran out of this item"
ToRemoveFromSlotPressDelete		"To remove from slot press delete"
PutSkillsOrItemsHere			"Put skills or items here"
PutSkillsHere				"Put skills or items here"
PressKeyForDescription			"Press H for description"

NewCharacterMenuTitle			"Create Character"
SelectCharacterClass			"Select Character Class"
SelectGender				"Select Gender"
CharacterName				"Character Name"
RandomName				"Random Name"
Rotate					"Rotate"
SelectHybrid				"Select Hybrid"
RandomHybrid				"Random Hybrid"
MaleChoice				"Male"
FemaleChoice				"Female"
AdvancedCharacterOptions		"Advanced Options"

Version					"ver"
Copyright				"Copyright (c) 2010 Soldak Entertainment, Inc. Tous droits réservés."

PartDopWorld1				"Partie du monde de"
PartDopWorld2				" "

PermanentSkillBonuses			"Permanent Skill Bonuses for ALL Characters"

// Awards menu

AwardsMenuTitle				"Awards"

TotalScore1				"Total"
TotalScore2				"Score"
AdventureTrophies1			"Adventure"
AdventureTrophies2			"Trophies"
Difficulty				"Difficulty"

// Bestiary menu

BeastiaryMenuTitle			"Bestiary"

// Character menu

CharacterStory				"Character Story"

// Confirm exit menu

ConfirmExit				"Confirm Exit"
ExitAdventureWarning2			"If you exit the adventure, you will have to start this adventure from the beginning."

// Confirm resume menu

ResumeQuestion				"You have a saved adventure, would you like to resume this adventure? NOTE: you can only have one saved adventure per user."
ResumeAdventure				"Resume Adventure"
PlayNewAdventure			"Play New Adventure"

// Confirm tutorial menu

Tutorial				"Tutorial"
PlayTutorial				"Play Tutorial"
TutorialQuestion			"Would you like to play the tutorial?"
SkipTutorial				"Skip Tutorial"

// Credits menu

CreditsMenuTitle			"Credits"

// Delete user confirm menu

DeleteUser				"Delete User"
TypeDeleteToConfirm			"Type 'delete' to remove this user" // NOTE: 'delete' should remain in Enlish
Delete					"Delete"

// Demo screen

DemoThankYou				"Thank you for playing the Kivi's Underworld open beta!"
DemoFullGameAvailable			"The full game is available to buy now at www.soldak.com"
DemoFullGameBenefits			"Full game benefits"
DemoBenefit1				"Find out what happens to Kivi, Defiance, and the rest of lumenkind"
DemoBenefit2				"30 adventures to explore and conquer"
DemoBenefit3				"Hundreds more secrets to discover"
DemoBenefit4				"Play as any one of 20 characters with unique abilities and magic spells"
DemoBenefit5				"Battle many more fierce and dangerous types of monsters"
DemoBenefit6				"Easily create new adventures, classes, and powerups or download those made by others"
DemoBenefit7				"Win many more awards"
DemoBenefit8				"and much more..."

OrderFullGame				"ORDER FULL GAME"
OrderFullGameDesc1			"Opens browser to"
OrderFullGameDesc2			"When Kivi's Underworld is available, this is where it will be on sale."
OrderFullGameDesc3			"Order the full game or just visit our website at"

DemoExit				"Exit Open Beta"

// Beta screen

BetaMessage				"Thank you for purchasing the pre-order version of Din's Curse!\n\nOne of the reasons why we choose to do a pre-order / beta program is so that we could get feedback from real gamers (in other words, you). So please click on the website button below and post some feedback in our forums."

// Duplicate input menu

KeyAlreadyBeingUsed			"That key is already being used"
SelectDifferentKey			"Please select a different key"

// Editor

EditorHelp				"Editor Help\n\n*Click on the Textures or Objects words in the upper right to change the Texture/Object mode.\n*Select a texure or object from the list on the right by left clicking on it.\n*Place a texture or object by left clicking on the map.\n*You can also ctrl-left click a texture or object already in the level to change your current selection instead of selecing it from the list on the right.\n*In object mode, right click will delete the object the cursor is pointing at.\n*In texture mode, right click acts like left click but with a separate selected texture, so you can work with 2 textures at once.\n\nKeys:\nHome - moves center to south west part of map\nEnd - moves center to north east part of map\nR - rotates models counter clockwise\nT - rotates models clockwise\nScroll ball - zoom in and out\nLeft/Right Arrow Keys - shift map east/west\nUp/Down Arrow Keys - shift map north/south"

FileMenu				"File"
NewAreaOption				"New area"
OpenAreaOption				"Open area"
SaveAreaOption				"Save area"
SaveAsOption				"Save As"

TexturesMenu				"Textures"
NewTextureDirectoryOption		"New texture directory"
SmallBrushOption			"Small brush"
MediumBrushOption			"Medium brush"
LargeBrushOption			"Large brush"
HugeBrushOption				"Huge brush"
FillOption				"Fill"

ObjectsMenu				"Objects"
NewObjectDirectoryOption		"New object directory"

CommandsMenu				"Commands"
DrawModelsOption			"Draw Models"
ShowCollisionGridOption			"Show Collision Grid"
BlendTilesOption			"Blend Tiles"

FileName				"File name"

HelpOption				"Help"

TexturesMode				"Textures"
ObjectsMode				"Objects"

AreaFileName				"Area FileName"
ObjectDir				"Object Dir"
TextureDir				"Texture Dir"
TileLocation				"Tile Location"
HighlightInfo				"Highlight Info"

RandomRotation				"Random Rotation"
RotateModels				"Rotate models"
RotateModelsCCW				"Rotate models counter clockwise\nHotkey R"
RotateModelsCW				"Rotate models clockwise\nHotkey T"

LevelNotSaved				"Level not saved"
CancelExit				"Cancel exit"
ExitWithoutSaving			"Exit without saving"
CancelNew				"Cancel new"
NewWithoutSaving			"New without saving"
CancelOpen				"Cancel open"
OpenWithoutSaving			"Open without saving"

// Game menu

MoreUseSlots				"More use slots"
LessUseSlots				"Less use slots"

SpaceKeyDesc1				"Can also use by hitting the ^c008"
SpaceKeyDesc2				"^c145 key"

UnusedSkillPoints			"Unused Skill Points"
UnusedAttributePoints			"Unused Attribute Points"

CharacterScreen				"Character Screen"
MapScreen				"Map Screen"
IngameMenu				"Ingame Menu"
QuestsScreen				"Quests Screen"
MiniMap					"MiniMap"

Time					"Time"

RightClickMainSlot			"Add skills here (from skill screen)\n - right click uses this skill"
RightClickSlot				"Add skills here (from skill screen)\n - secondary right click slot"
RotateRightClickSlotsUp			"Rotate right click slots up"
RotateRightClickSlotsDown		"Rotate right click slots down"

ConfirmWinText				"You have saved this town, click\nthis icon to move on to the\nnext town in desperate need."

HoldingPosition				"Holding position"
HoldingPositionDesc			"You have the stay still toggle on (default ctrl key)"

// In game menu

Options					"Options"

SaveAndExit				"Save and Exit"
ExitAdventure				"Exit adventure"
ExitAdventureWarning			"Warning: If you exit the adventure, you\nwill have to start this adventure from\nthe beginning."

ReturnToGame				"Return to game"

// Load user menu

SelectUser				"Select User"
NewUser					"New user"

// Main menu

Play					"Jouer"
Awards					"Récompenses"
Beastiary				"Bestiaire"
Editor					"Editeur"
ModelEditor				"Editeur de modèles"
ChangeUser				"Autre partie"
Credits					"Notre équipe"
Welcome					"Bienvenu"
Language				"Langue"

ResumeGame				"Reprendre"
ResumeLastGame				"Resume last singleplayer game"

Newsletter				"Newsletter"
NewsletterDesc				"Sign up for Soldak Entertainment's free newsletter."

VisitWebsite				"Visiter le site"
VisitWebsiteDesc			"Opens browser to"

NeedUser				"Can't play until you select or create a new user."

// New user menu

UserName				"Nom d'utilisateur"

// Rescue menu

RescueNpc				"Rescue"

// Pick adventure menu

PickAdventure				"Pick Adventure"

TotalScore				"Total Score"
HighestScore				"Highest Score"
SecretsFound				"Secrets Found"
LowestDeaths				"Lowest Deaths"

BuySkills				"Buy Skills"
Continue				"Continue"

// Pick character menu

PickCharacter				"Pick Character"

AdventuresWon				"Adventures Won"
WonThisAdventure			"Won this adventure?"

StartAdventure				"Start Adventure"
MuteVoice				"Mute Voice"
MuteVoiceDesc				"Turns on/off the voice overs for the adventure story.\nWill only take effect when the next voice over tries to play."

// Player menu

HealthBarDesc				"Health"
ManaBarDesc				"Mana"
StaminaBarDesc				"Stamina"

LeftClickToSelectQuest			"^c008Left click to select quest^c145"

// Resurrect menu

Resurrect				"Resurrect"
NoMoreLivesAdventureOver		"No more lives. Adventure over; press to continue"

// Story menu

PlayVoice				"Play Voice"

PlayerTitle				"Level ##1## ##3##"
//PlayerTitle				"the ##3##"


LevelAbrev				"niv."

// Npc options

SpottedByEnemy				"Spotted by enemy"

RecruitTitle				" "

// Teleporters

TeleporterRedStart			"^c001Red^c145 Teleporter"
TeleporterGreenStart			"^c002Green^c145 Teleporter"
TeleporterBlueStart			"^c003Blue^c145 Teleporter"

TeleporterRedEnd			"^c001Red^c145 Teleporter Destination"
TeleporterGreenEnd			"^c002Green^c145 Teleporter Destination"
TeleporterBlueEnd			"^c003Blue^c145 Teleporter Destination"

TeleporterDown				"Down"
TeleporterDownDesc			"\nOnce you go down you can't come back up\n"

// UI in engine options

ShadowsNone				"None"
ShadowsSimple				"Simple"
ShadowsComplex				"Complex"
ShadowsComplexLowRes			"Complex (but low res)"

FilteringNone				"None"
FilteringBilinear			"Bilinear"
FilteringTrilinear			"Trilinear"

FreqDefault				"Default"
FreqHz					"Hz"

GroundDetailLow				"Low"
GroundDetailNormal			"Medium"
GroundDetailHigh			"High"

AntiAliasingNone			"None"
AntiAliasingSamples			"Samples"

StealthSurprise				"Stealth Surprise"

HoldDownAltToSeeAllItemsOnGround	" "
RightClickToUse				"Right click to use"
LeftOrRightClickToUse			"Left or Right click^c145 to use"

// Skills

OffenseSkillName			"Offense"
OffenseSkillDesc			"Increases your chance to hit monsters\nand increases your damage done."

DefenseSkillName			"Defense"
DefenseSkillDesc			"Decreases the chance that monsters hit you."

HealthSkillName				"Health"
HealthSkillDesc				"Increases the health of your character\nso that it takes more hits to kill you."

PowerSkillName				"Mana"
PowerSkillDesc				"Increases your maximum mana.  The more\nmana you have, the more times you can use\nyour active skill before needing to wait for it\nto replenish."

PowerStrikeSkillName			"Power Strike"
PowerStrikeSkillDesc			"A slow but powerful attack"

StunningBlowsSkillName			"Stunning Blows"
StunningBlowsSkillDesc			"Increases the chance of delivering a\nstunning blow.  Stunning blows automatically\ndo the maximum damage possible."

BerserkSkillName			"Berserk"
BerserkSkillDesc			"A quick and powerful attack that leaves\nyou open and easier to hit for a few seconds."

BloodLustSkillName			"Blood Lust"
BloodLustSkillDesc			"Regain mana back quicker"

WhirlwindSkillName			"Whirlwind"
WhirlwindSkillDesc			"An attack that can hit up to 5 nearby enemies."

BlurredBladesSkillName			"Blurred Blades"
BlurredBladesSkillDesc			"Increased the speed of your attacks."

BlockSkillName				"Block"
BlockSkillDesc				"Makes you harder to hit during the block\nand stuns any enemies that you block."

KillBonusSkillName			"Kill Bonus"
KillBonusSkillDesc			"Get more score for each monster kill."

SmiteSkillName				"Smite"
SmiteSkillDesc				"A reasonably powerful attack that also\ndoes damage over time."

RegenSkillName				"Regen"
RegenSkillDesc				"Increased the rate of your health regeneration."

BurstOfSpeedSkillName			"Burst of Speed"
BurstOfSpeedSkillDesc			"Increases your attack speed and increases\nyour chances of causing critical hits\nand deep wounds for a short period of time."

DeadlyAimSkillName			"Deadly Aim"
DeadlyAimSkillDesc			"Increases your chances of causing critical hits."

ShurikenSkillName			"Shuriken"
ShurikenSkillDesc			"A ranged attack."

ShadowWalkSkillName			"Shadow Walk"
ShadowWalkSkillDesc			"Makes it harder for monsters to notice you."

StealthSkillName			"Stealth"
StealthSkillDesc			"When stealthed it is hard for monsters to\nsee you.  When you come out of stealth\nyou get a large surprise bonus to your damage and\ncritical hit chance."

FleetOfFootSkillName			"Fleet of Foot"
FleetOfFootSkillDesc			"Increases your run speed."

SmokeScreenSkillName			"Smoke Screen"
SmokeScreenSkillDesc			"Creates a smokescreen that blinds all monsters\nin range.  Beware, any damage will return that\nmonster to normal."

AvoidTrapsSkillName			"Avoid Traps"
AvoidTrapsSkillDesc			"Increases the chance of avoiding trap damage."

HolyFireSkillName			"Holy Fire"
HolyFireSkillDesc			"A magical projectile that does fire damage."

DivineInterventionSkillName		"Divine Intervention"
DivineInterventionSkillDesc		"Has a small chance each time hit for divine intervention\nthat restores some health and mana.  Each\nskill point increases the chance."

FireboltSkillName			"Firebolt"
FireboltSkillDesc			"A magical projectile that does fire damage."

BattleToughSkillName			"Battle Tough"
BattleToughSkillDesc			"Increased resistance to physical damage."

ChangePowerupSkillName			"Powerup Enchantment"
ChangePowerupSkillDesc			"Magically tries to change your current powerups\ninto better powerups.  If you have no powerups,\nthis will attempt to create one.  The higher the\nskill level, the better chance of either the\nenhancement or creation working."

WeaknessAuraSkillName			"Weakness Aura"
WeaknessAuraSkillDesc			"An aura that automatically makes enemies in\nthe area weaker and do less physical\ndamage."

FireballSkillName			"Fireball"
FireballSkillDesc			"A magical projectile that does fire damage\nand hits any enemies within the explosion."

FireResistanceSkillName			"Fire Resistance"
FireResistanceSkillDesc			"Decreases the damage done from fire."

IceShardSkillName			"Ice Shard"
IceShardSkillDesc			"A magical projectile that does ice damage\nand slows down enemies for a while."

DefensiveIceNovaSkillName		"Defensive Ice Nova"
DefensiveIceNovaSkillDesc		"Occassionally when hit, an ice nova will be\nreleased doing damage and slowing\ndown enemies."

SpontaneousCombustionSkillName		"Spontaneous Combustion"
SpontaneousCombustionSkillDesc		"Instantly catches the victim on fire and\ndoes damage over time (but it is\nvery fast)."

DamageShieldSkillName			"Damage Shield"
DamageShieldSkillDesc			"Does damage to any enemy that does\ndamage to you."

LightningBlastSkillName			"Lightning Blast"
LightningBlastSkillDesc			"Launces a bolt of lightning at the enemy."

PowerStealSkillName			"Mana Steal"
PowerStealSkillDesc			"Leeches mana away from the enemy each\ntime you hit them."

WizardOffenseSkillName			"Offense"
